09:02:57.861 [XNIO-1 task-1]  mqU8l2_HRRyR5Jin7mg9uQ DEBUG com.networknt.schema.TypeValidator debug - validate( "920f67ac-061d-4f4f-91a4-e92bcfcb4ccc", {"password":"a54c83b5-79b9-4b55-8de6-bb90a71761ea","newPassword":"920f67ac-061d-4f4f-91a4-e92bcfcb4ccc","newPasswordConfirm":"920f67ac-061d-4f4f-91a4-e92bcfcb4ccc"}, requestBody.newPassword)
09:03:02.778 [XNIO-1 task-1]  0Z82tL8aRkSzbqzwhJglcA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
09:03:02.778 [XNIO-1 task-1]  0Z82tL8aRkSzbqzwhJglcA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/d7c23354, base path is set to: null
09:03:02.778 [XNIO-1 task-1]  0Z82tL8aRkSzbqzwhJglcA DEBUG com.networknt.schema.TypeValidator debug - validate( "d7c23354", "d7c23354", userId)
09:03:02.782 [XNIO-1 task-1]  b23lULwiQySw66xNV6B1cQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/002bf5d8
09:03:02.782 [XNIO-1 task-1]  b23lULwiQySw66xNV6B1cQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:02.782 [XNIO-1 task-1]  b23lULwiQySw66xNV6B1cQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
09:03:02.782 [XNIO-1 task-1]  b23lULwiQySw66xNV6B1cQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
09:03:02.782 [XNIO-1 task-1]  b23lULwiQySw66xNV6B1cQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/002bf5d8
09:03:02.782 [XNIO-1 task-1]  b23lULwiQySw66xNV6B1cQ DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"0b53e1ec-7618-4f6c-951f-3545a13e80d0","newPassword":"855fb098-9495-4002-91e8-ad0d686e785a","newPasswordConfirm":"855fb098-9495-4002-91e8-ad0d686e785a"}, {"password":"0b53e1ec-7618-4f6c-951f-3545a13e80d0","newPassword":"855fb098-9495-4002-91e8-ad0d686e785a","newPasswordConfirm":"855fb098-9495-4002-91e8-ad0d686e785a"}, requestBody)
09:03:02.783 [XNIO-1 task-1]  b23lULwiQySw66xNV6B1cQ DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"0b53e1ec-7618-4f6c-951f-3545a13e80d0","newPassword":"855fb098-9495-4002-91e8-ad0d686e785a","newPasswordConfirm":"855fb098-9495-4002-91e8-ad0d686e785a"}, {"password":"0b53e1ec-7618-4f6c-951f-3545a13e80d0","newPassword":"855fb098-9495-4002-91e8-ad0d686e785a","newPasswordConfirm":"855fb098-9495-4002-91e8-ad0d686e785a"}, requestBody)
09:03:02.783 [XNIO-1 task-1]  b23lULwiQySw66xNV6B1cQ DEBUG com.networknt.schema.FormatValidator debug - validate( "855fb098-9495-4002-91e8-ad0d686e785a", {"password":"0b53e1ec-7618-4f6c-951f-3545a13e80d0","newPassword":"855fb098-9495-4002-91e8-ad0d686e785a","newPasswordConfirm":"855fb098-9495-4002-91e8-ad0d686e785a"}, requestBody.newPasswordConfirm)
09:03:02.783 [XNIO-1 task-1]  b23lULwiQySw66xNV6B1cQ DEBUG com.networknt.schema.FormatValidator debug - validate( "0b53e1ec-7618-4f6c-951f-3545a13e80d0", {"password":"0b53e1ec-7618-4f6c-951f-3545a13e80d0","newPassword":"855fb098-9495-4002-91e8-ad0d686e785a","newPasswordConfirm":"855fb098-9495-4002-91e8-ad0d686e785a"}, requestBody.password)
09:03:02.783 [XNIO-1 task-1]  b23lULwiQySw66xNV6B1cQ DEBUG com.networknt.schema.FormatValidator debug - validate( "855fb098-9495-4002-91e8-ad0d686e785a", {"password":"0b53e1ec-7618-4f6c-951f-3545a13e80d0","newPassword":"855fb098-9495-4002-91e8-ad0d686e785a","newPasswordConfirm":"855fb098-9495-4002-91e8-ad0d686e785a"}, requestBody.newPassword)
09:03:02.805 [XNIO-1 task-1]  Kakz9wNKSN6fYRhbeo768w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/0e221a3d
09:03:02.805 [XNIO-1 task-1]  Kakz9wNKSN6fYRhbeo768w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:02.806 [XNIO-1 task-1]  Kakz9wNKSN6fYRhbeo768w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
09:03:02.806 [XNIO-1 task-1]  Kakz9wNKSN6fYRhbeo768w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/0e221a3d
09:03:02.809 [XNIO-1 task-1]  1qmyNHq4TZiIpmJLiFBo0Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/96efa30e, base path is set to: null
09:03:02.809 [XNIO-1 task-1]  1qmyNHq4TZiIpmJLiFBo0Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:03:02.810 [XNIO-1 task-1]  1qmyNHq4TZiIpmJLiFBo0Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
09:03:02.810 [XNIO-1 task-1]  1qmyNHq4TZiIpmJLiFBo0Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/96efa30e, base path is set to: null
09:03:02.810 [XNIO-1 task-1]  1qmyNHq4TZiIpmJLiFBo0Q DEBUG com.networknt.schema.TypeValidator debug - validate( "96efa30e", "96efa30e", userId)
09:03:02.814 [XNIO-1 task-1]  x4F5vVgOTdmZchXFanoiVA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:02.814 [XNIO-1 task-1]  x4F5vVgOTdmZchXFanoiVA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:02.814 [XNIO-1 task-1]  x4F5vVgOTdmZchXFanoiVA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:02.845 [XNIO-1 task-1]  tAN8er1cQ0GBghJskQO9SQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/0e221a3d
09:03:02.845 [XNIO-1 task-1]  tAN8er1cQ0GBghJskQO9SQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:02.845 [XNIO-1 task-1]  tAN8er1cQ0GBghJskQO9SQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
09:03:02.845 [XNIO-1 task-1]  tAN8er1cQ0GBghJskQO9SQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/0e221a3d
09:03:02.851 [XNIO-1 task-1]  -1_7z2x4QkOt__q2tktDVQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:03:02.852 [XNIO-1 task-1]  -1_7z2x4QkOt__q2tktDVQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:03:02.852 [XNIO-1 task-1]  -1_7z2x4QkOt__q2tktDVQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:03:02.876 [XNIO-1 task-1]  tiSMm3kUTYyxsTiZg4u_hg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:03:02.876 [XNIO-1 task-1]  tiSMm3kUTYyxsTiZg4u_hg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:03:02.877 [XNIO-1 task-1]  tiSMm3kUTYyxsTiZg4u_hg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:03:02.877 [XNIO-1 task-1]  tiSMm3kUTYyxsTiZg4u_hg DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
09:03:02.883 [XNIO-1 task-1]  eUlkchnUTQC4xtzG7_7jIQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/96efa30e, base path is set to: null
09:03:02.884 [XNIO-1 task-1]  eUlkchnUTQC4xtzG7_7jIQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:03:02.884 [XNIO-1 task-1]  eUlkchnUTQC4xtzG7_7jIQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
09:03:02.884 [XNIO-1 task-1]  eUlkchnUTQC4xtzG7_7jIQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/password/{userId}
09:03:02.884 [XNIO-1 task-1]  eUlkchnUTQC4xtzG7_7jIQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/96efa30e, base path is set to: null
09:03:02.884 [XNIO-1 task-1]  eUlkchnUTQC4xtzG7_7jIQ DEBUG com.networknt.schema.TypeValidator debug - validate( "96efa30e", "96efa30e", userId)
09:03:02.884 [XNIO-1 task-1]  eUlkchnUTQC4xtzG7_7jIQ DEBUG c.networknt.schema.RequiredValidator debug - validate( {"password":"5b18849a-b4d2-4bd9-aa64-ce1a40b3f392","newPassword":"18fa3124-0104-4ac0-a3cd-89808602a962","newPasswordConfirm":"18fa3124-0104-4ac0-a3cd-89808602a962"}, {"password":"5b18849a-b4d2-4bd9-aa64-ce1a40b3f392","newPassword":"18fa3124-0104-4ac0-a3cd-89808602a962","newPasswordConfirm":"18fa3124-0104-4ac0-a3cd-89808602a962"}, requestBody)
09:03:02.884 [XNIO-1 task-1]  eUlkchnUTQC4xtzG7_7jIQ DEBUG com.networknt.schema.TypeValidator debug - validate( "18fa3124-0104-4ac0-a3cd-89808602a962", {"password":"5b18849a-b4d2-4bd9-aa64-ce1a40b3f392","newPassword":"18fa3124-0104-4ac0-a3cd-89808602a962","newPasswordConfirm":"18fa3124-0104-4ac0-a3cd-89808602a962"}, requestBody.newPasswordConfirm)
09:03:02.885 [XNIO-1 task-1]  eUlkchnUTQC4xtzG7_7jIQ DEBUG com.networknt.schema.TypeValidator debug - validate( "5b18849a-b4d2-4bd9-aa64-ce1a40b3f392", {"password":"5b18849a-b4d2-4bd9-aa64-ce1a40b3f392","newPassword":"18fa3124-0104-4ac0-a3cd-89808602a962","newPasswordConfirm":"18fa3124-0104-4ac0-a3cd-89808602a962"}, requestBody.password)
09:03:02.885 [XNIO-1 task-1]  eUlkchnUTQC4xtzG7_7jIQ DEBUG com.networknt.schema.TypeValidator debug - validate( "18fa3124-0104-4ac0-a3cd-89808602a962", {"password":"5b18849a-b4d2-4bd9-aa64-ce1a40b3f392","newPassword":"18fa3124-0104-4ac0-a3cd-89808602a962","newPasswordConfirm":"18fa3124-0104-4ac0-a3cd-89808602a962"}, requestBody.newPassword)
09:03:02.896 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.networknt.oauth.cache.UserMapStore store - Store:96efa30e
09:03:02.915 [XNIO-1 task-1]  i2kGWr8ASMywQDqBMwRipg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/0e221a3d, base path is set to: null
09:03:02.915 [XNIO-1 task-1]  i2kGWr8ASMywQDqBMwRipg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:03:02.915 [XNIO-1 task-1]  i2kGWr8ASMywQDqBMwRipg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
09:03:02.915 [XNIO-1 task-1]  i2kGWr8ASMywQDqBMwRipg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/0e221a3d, base path is set to: null
09:03:02.916 [XNIO-1 task-1]  i2kGWr8ASMywQDqBMwRipg DEBUG com.networknt.schema.TypeValidator debug - validate( "0e221a3d", "0e221a3d", userId)
09:03:02.922 [XNIO-1 task-1]  afuAIM0NSZav8MpOien-yQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:02.922 [XNIO-1 task-1]  afuAIM0NSZav8MpOien-yQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:02.922 [XNIO-1 task-1]  afuAIM0NSZav8MpOien-yQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:02.923 [XNIO-1 task-1]  afuAIM0NSZav8MpOien-yQ DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
09:03:02.935 [XNIO-1 task-1]  ZjlG-BnsSamtWansB4aOWA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/96efa30e
09:03:02.935 [XNIO-1 task-1]  ZjlG-BnsSamtWansB4aOWA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:02.935 [XNIO-1 task-1]  ZjlG-BnsSamtWansB4aOWA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
09:03:02.935 [XNIO-1 task-1]  ZjlG-BnsSamtWansB4aOWA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/96efa30e
09:03:02.942 [XNIO-1 task-1]  FBd7XJ0KQjSV75LYarY3mw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/0e221a3d, base path is set to: null
09:03:02.942 [XNIO-1 task-1]  FBd7XJ0KQjSV75LYarY3mw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:03:02.942 [XNIO-1 task-1]  FBd7XJ0KQjSV75LYarY3mw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
09:03:02.942 [XNIO-1 task-1]  FBd7XJ0KQjSV75LYarY3mw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/0e221a3d, base path is set to: null
09:03:02.942 [XNIO-1 task-1]  FBd7XJ0KQjSV75LYarY3mw DEBUG com.networknt.schema.TypeValidator debug - validate( "0e221a3d", "0e221a3d", userId)
09:03:02.960 [XNIO-1 task-1]  -f-5FblATHiYWMlOI8Zx2w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:02.960 [XNIO-1 task-1]  -f-5FblATHiYWMlOI8Zx2w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:02.961 [XNIO-1 task-1]  -f-5FblATHiYWMlOI8Zx2w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:02.961 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:96efa30e
09:03:02.968 [XNIO-1 task-1]  -y04aqTgRVWd6ApXvrTxvQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:02.968 [XNIO-1 task-1]  -y04aqTgRVWd6ApXvrTxvQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:02.968 [XNIO-1 task-1]  -y04aqTgRVWd6ApXvrTxvQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:02.981 [XNIO-1 task-1]  LqCmBpooT-2NgPZ6nvQ7_w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:02.981 [XNIO-1 task-1]  LqCmBpooT-2NgPZ6nvQ7_w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:02.982 [XNIO-1 task-1]  LqCmBpooT-2NgPZ6nvQ7_w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:02.982 [XNIO-1 task-1]  LqCmBpooT-2NgPZ6nvQ7_w DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
09:03:02.990 [XNIO-1 task-1]  _Hl_U9OPSby3q_B-HIOzug DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:02.990 [XNIO-1 task-1]  _Hl_U9OPSby3q_B-HIOzug DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:02.990 [XNIO-1 task-1]  _Hl_U9OPSby3q_B-HIOzug DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:03.008 [XNIO-1 task-1]  muGq5lcjQym3BaarB1hWGA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:03.008 [XNIO-1 task-1]  muGq5lcjQym3BaarB1hWGA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:03.008 [XNIO-1 task-1]  muGq5lcjQym3BaarB1hWGA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:03.023 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:e58dd8d7-b828-45e0-a2b2-8d7118aa2af7
09:03:03.032 [XNIO-1 task-1]  P73RB9bqTmmvS5nbuY_whw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/0e901a6c
09:03:03.032 [XNIO-1 task-1]  P73RB9bqTmmvS5nbuY_whw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:03.032 [XNIO-1 task-1]  P73RB9bqTmmvS5nbuY_whw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
09:03:03.033 [XNIO-1 task-1]  P73RB9bqTmmvS5nbuY_whw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
09:03:03.033 [XNIO-1 task-1]  P73RB9bqTmmvS5nbuY_whw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/0e901a6c
09:03:03.033 [XNIO-1 task-1]  P73RB9bqTmmvS5nbuY_whw DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"29b458b2-6439-4bf0-bfc1-d4f118bceb73","newPassword":"7858dadf-3ce8-44d7-a373-6b8bf6ef5f67","newPasswordConfirm":"7858dadf-3ce8-44d7-a373-6b8bf6ef5f67"}, {"password":"29b458b2-6439-4bf0-bfc1-d4f118bceb73","newPassword":"7858dadf-3ce8-44d7-a373-6b8bf6ef5f67","newPasswordConfirm":"7858dadf-3ce8-44d7-a373-6b8bf6ef5f67"}, requestBody)
09:03:03.033 [XNIO-1 task-1]  P73RB9bqTmmvS5nbuY_whw DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"29b458b2-6439-4bf0-bfc1-d4f118bceb73","newPassword":"7858dadf-3ce8-44d7-a373-6b8bf6ef5f67","newPasswordConfirm":"7858dadf-3ce8-44d7-a373-6b8bf6ef5f67"}, {"password":"29b458b2-6439-4bf0-bfc1-d4f118bceb73","newPassword":"7858dadf-3ce8-44d7-a373-6b8bf6ef5f67","newPasswordConfirm":"7858dadf-3ce8-44d7-a373-6b8bf6ef5f67"}, requestBody)
09:03:03.033 [XNIO-1 task-1]  P73RB9bqTmmvS5nbuY_whw DEBUG com.networknt.schema.FormatValidator debug - validate( "7858dadf-3ce8-44d7-a373-6b8bf6ef5f67", {"password":"29b458b2-6439-4bf0-bfc1-d4f118bceb73","newPassword":"7858dadf-3ce8-44d7-a373-6b8bf6ef5f67","newPasswordConfirm":"7858dadf-3ce8-44d7-a373-6b8bf6ef5f67"}, requestBody.newPasswordConfirm)
09:03:03.033 [XNIO-1 task-1]  P73RB9bqTmmvS5nbuY_whw DEBUG com.networknt.schema.FormatValidator debug - validate( "29b458b2-6439-4bf0-bfc1-d4f118bceb73", {"password":"29b458b2-6439-4bf0-bfc1-d4f118bceb73","newPassword":"7858dadf-3ce8-44d7-a373-6b8bf6ef5f67","newPasswordConfirm":"7858dadf-3ce8-44d7-a373-6b8bf6ef5f67"}, requestBody.password)
09:03:03.033 [XNIO-1 task-1]  P73RB9bqTmmvS5nbuY_whw DEBUG com.networknt.schema.FormatValidator debug - validate( "7858dadf-3ce8-44d7-a373-6b8bf6ef5f67", {"password":"29b458b2-6439-4bf0-bfc1-d4f118bceb73","newPassword":"7858dadf-3ce8-44d7-a373-6b8bf6ef5f67","newPasswordConfirm":"7858dadf-3ce8-44d7-a373-6b8bf6ef5f67"}, requestBody.newPassword)
09:03:03.060 [XNIO-1 task-1]  9pYvn6IVTq696AHQQX85QQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:03.060 [XNIO-1 task-1]  9pYvn6IVTq696AHQQX85QQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:03.060 [XNIO-1 task-1]  9pYvn6IVTq696AHQQX85QQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:03.084 [XNIO-1 task-1]  sUal-oHiSZKPpv5QSurYig DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:03.084 [XNIO-1 task-1]  sUal-oHiSZKPpv5QSurYig DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:03.084 [XNIO-1 task-1]  sUal-oHiSZKPpv5QSurYig DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:03.084 [XNIO-1 task-1]  sUal-oHiSZKPpv5QSurYig DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
09:03:03.115 [XNIO-1 task-1]  JMO1J40USx-TPcPZiCJheA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:03.116 [XNIO-1 task-1]  JMO1J40USx-TPcPZiCJheA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:03.116 [XNIO-1 task-1]  JMO1J40USx-TPcPZiCJheA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:03.127 [XNIO-1 task-1]  15c3QOrHTM2C01prNFxzbA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:03.127 [XNIO-1 task-1]  15c3QOrHTM2C01prNFxzbA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:03.129 [XNIO-1 task-1]  15c3QOrHTM2C01prNFxzbA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:03.152 [XNIO-1 task-1]  j8NdnstWQ2-C7VxucpFapA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/d7c23354
09:03:03.152 [XNIO-1 task-1]  j8NdnstWQ2-C7VxucpFapA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:03.152 [XNIO-1 task-1]  j8NdnstWQ2-C7VxucpFapA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
09:03:03.152 [XNIO-1 task-1]  j8NdnstWQ2-C7VxucpFapA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/d7c23354
09:03:03.162 [XNIO-1 task-1]  6KsoTENCQC6e62ZAu0_OOA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/96efa30e, base path is set to: null
09:03:03.162 [XNIO-1 task-1]  6KsoTENCQC6e62ZAu0_OOA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:03:03.163 [XNIO-1 task-1]  6KsoTENCQC6e62ZAu0_OOA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
09:03:03.163 [XNIO-1 task-1]  6KsoTENCQC6e62ZAu0_OOA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/password/{userId}
09:03:03.163 [XNIO-1 task-1]  6KsoTENCQC6e62ZAu0_OOA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/96efa30e, base path is set to: null
09:03:03.163 [XNIO-1 task-1]  6KsoTENCQC6e62ZAu0_OOA DEBUG com.networknt.schema.TypeValidator debug - validate( "96efa30e", "96efa30e", userId)
09:03:03.163 [XNIO-1 task-1]  6KsoTENCQC6e62ZAu0_OOA DEBUG c.networknt.schema.RequiredValidator debug - validate( {"password":"18fa3124-0104-4ac0-a3cd-89808602a962","newPassword":"e7fa2b6b-fbf5-4941-b269-faa1ebbf103a","newPasswordConfirm":"e7fa2b6b-fbf5-4941-b269-faa1ebbf103a"}, {"password":"18fa3124-0104-4ac0-a3cd-89808602a962","newPassword":"e7fa2b6b-fbf5-4941-b269-faa1ebbf103a","newPasswordConfirm":"e7fa2b6b-fbf5-4941-b269-faa1ebbf103a"}, requestBody)
09:03:03.163 [XNIO-1 task-1]  6KsoTENCQC6e62ZAu0_OOA DEBUG com.networknt.schema.TypeValidator debug - validate( "e7fa2b6b-fbf5-4941-b269-faa1ebbf103a", {"password":"18fa3124-0104-4ac0-a3cd-89808602a962","newPassword":"e7fa2b6b-fbf5-4941-b269-faa1ebbf103a","newPasswordConfirm":"e7fa2b6b-fbf5-4941-b269-faa1ebbf103a"}, requestBody.newPasswordConfirm)
09:03:03.163 [XNIO-1 task-1]  6KsoTENCQC6e62ZAu0_OOA DEBUG com.networknt.schema.TypeValidator debug - validate( "18fa3124-0104-4ac0-a3cd-89808602a962", {"password":"18fa3124-0104-4ac0-a3cd-89808602a962","newPassword":"e7fa2b6b-fbf5-4941-b269-faa1ebbf103a","newPasswordConfirm":"e7fa2b6b-fbf5-4941-b269-faa1ebbf103a"}, requestBody.password)
09:03:03.163 [XNIO-1 task-1]  6KsoTENCQC6e62ZAu0_OOA DEBUG com.networknt.schema.TypeValidator debug - validate( "e7fa2b6b-fbf5-4941-b269-faa1ebbf103a", {"password":"18fa3124-0104-4ac0-a3cd-89808602a962","newPassword":"e7fa2b6b-fbf5-4941-b269-faa1ebbf103a","newPasswordConfirm":"e7fa2b6b-fbf5-4941-b269-faa1ebbf103a"}, requestBody.newPassword)
09:03:03.174 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.networknt.oauth.cache.UserMapStore store - Store:96efa30e
09:03:03.174 [hz._hzInstance_1_dev.partition-operation.thread-1]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:8b851ba8-34b8-48af-b128-ec9304934f92
09:03:03.177 [hz._hzInstance_1_dev.partition-operation.thread-1]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:8b851ba8-34b8-48af-b128-ec9304934f92
09:03:03.186 [XNIO-1 task-1]  DntYEZkeSs6Y1duFW5qQHw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:03.186 [XNIO-1 task-1]  DntYEZkeSs6Y1duFW5qQHw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:03.187 [XNIO-1 task-1]  DntYEZkeSs6Y1duFW5qQHw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:03:03.187 [hz._hzInstance_1_dev.partition-operation.thread-8]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:d7c23354
09:03:03.194 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:e58dd8d7-b828-45e0-a2b2-8d7118aa2af7
09:03:03.205 [XNIO-1 task-1]  _VaEs1v6TQedQhRvliFqfw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:03:03.205 [XNIO-1 task-1]  _VaEs1v6TQedQhRvliFqfw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:03:03.205 [XNIO-1 task-1]  _VaEs1v6TQedQhRvliFqfw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
